2022-04-27 19:31:29 startup archives install
2022-04-27 19:31:29 install base-passwd:armhf <none> 3.5.44
2022-04-27 19:31:29 status half-installed base-passwd:armhf 3.5.44
2022-04-27 19:31:29 status unpacked base-passwd:armhf 3.5.44
2022-04-27 19:31:29 status unpacked base-passwd:armhf 3.5.44
2022-04-27 19:31:29 configure base-passwd:armhf 3.5.44 3.5.44
2022-04-27 19:31:29 status unpacked base-passwd:armhf 3.5.44
2022-04-27 19:31:29 status half-configured base-passwd:armhf 3.5.44
2022-04-27 19:31:30 status installed base-passwd:armhf 3.5.44
2022-04-27 19:31:30 startup archives install
2022-04-27 19:31:30 install base-files:armhf <none> 10.1ubuntu2
2022-04-27 19:31:30 status half-installed base-files:armhf 10.1ubuntu2
2022-04-27 19:31:30 status unpacked base-files:armhf 10.1ubuntu2
2022-04-27 19:31:30 status unpacked base-files:armhf 10.1ubuntu2
2022-04-27 19:31:30 configure base-files:armhf 10.1ubuntu2 10.1ubuntu2
2022-04-27 19:31:30 status unpacked base-files:armhf 10.1ubuntu2
2022-04-27 19:31:30 status unpacked base-files:armhf 10.1ubuntu2
2022-04-27 19:31:30 status unpacked base-files:armhf 10.1ubuntu2
2022-04-27 19:31:30 status unpacked base-files:armhf 10.1ubuntu2
2022-04-27 19:31:30 status unpacked base-files:armhf 10.1ubuntu2
2022-04-27 19:31:30 status unpacked base-files:armhf 10.1ubuntu2
2022-04-27 19:31:30 status unpacked base-files:armhf 10.1ubuntu2
2022-04-27 19:31:30 status unpacked base-files:armhf 10.1ubuntu2
2022-04-27 19:31:30 status unpacked base-files:armhf 10.1ubuntu2
2022-04-27 19:31:30 status unpacked base-files:armhf 10.1ubuntu2
2022-04-27 19:31:30 status unpacked base-files:armhf 10.1ubuntu2
2022-04-27 19:31:30 status unpacked base-files:armhf 10.1ubuntu2
2022-04-27 19:31:30 status unpacked base-files:armhf 10.1ubuntu2
2022-04-27 19:31:30 status half-configured base-files:armhf 10.1ubuntu2
2022-04-27 19:31:30 status installed base-files:armhf 10.1ubuntu2
2022-04-27 19:31:30 startup archives install
2022-04-27 19:31:30 upgrade dpkg 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2022-04-27 19:31:30 status half-configured dpkg 1.19.0.5ubuntu2
2022-04-27 19:31:30 status unpacked dpkg 1.19.0.5ubuntu2
2022-04-27 19:31:30 status half-installed dpkg 1.19.0.5ubuntu2
2022-04-27 19:31:31 status half-installed dpkg 1.19.0.5ubuntu2
2022-04-27 19:31:31 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2022-04-27 19:31:31 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2022-04-27 19:31:31 configure dpkg:armhf 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2022-04-27 19:31:31 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2022-04-27 19:31:31 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2022-04-27 19:31:31 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2022-04-27 19:31:31 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2022-04-27 19:31:31 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2022-04-27 19:31:31 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2022-04-27 19:31:31 status half-configured dpkg:armhf 1.19.0.5ubuntu2
2022-04-27 19:31:31 status installed dpkg:armhf 1.19.0.5ubuntu2
2022-04-27 19:31:31 startup archives install
2022-04-27 19:31:31 install libc6:armhf <none> 2.27-3ubuntu1
2022-04-27 19:31:31 status half-installed libc6:armhf 2.27-3ubuntu1
2022-04-27 19:31:32 status unpacked libc6:armhf 2.27-3ubuntu1
2022-04-27 19:31:32 status unpacked libc6:armhf 2.27-3ubuntu1
2022-04-27 19:31:32 configure libc6:armhf 2.27-3ubuntu1 2.27-3ubuntu1
2022-04-27 19:31:32 status unpacked libc6:armhf 2.27-3ubuntu1
2022-04-27 19:31:32 status unpacked libc6:armhf 2.27-3ubuntu1
2022-04-27 19:31:32 status half-configured libc6:armhf 2.27-3ubuntu1
2022-04-27 19:31:32 status installed libc6:armhf 2.27-3ubuntu1
2022-04-27 19:31:32 startup archives install
2022-04-27 19:31:32 install perl-base:armhf <none> 5.26.1-6
2022-04-27 19:31:32 status half-installed perl-base:armhf 5.26.1-6
2022-04-27 19:31:32 status unpacked perl-base:armhf 5.26.1-6
2022-04-27 19:31:33 status unpacked perl-base:armhf 5.26.1-6
2022-04-27 19:31:33 configure perl-base:armhf 5.26.1-6 5.26.1-6
2022-04-27 19:31:33 status unpacked perl-base:armhf 5.26.1-6
2022-04-27 19:31:33 status half-configured perl-base:armhf 5.26.1-6
2022-04-27 19:31:33 status installed perl-base:armhf 5.26.1-6
2022-04-27 19:31:33 startup archives install
2022-04-27 19:31:33 install mawk:armhf <none> 1.3.3-17ubuntu3
2022-04-27 19:31:33 status half-installed mawk:armhf 1.3.3-17ubuntu3
2022-04-27 19:31:33 status unpacked mawk:armhf 1.3.3-17ubuntu3
2022-04-27 19:31:33 status unpacked mawk:armhf 1.3.3-17ubuntu3
2022-04-27 19:31:33 configure mawk:armhf 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2022-04-27 19:31:33 status unpacked mawk:armhf 1.3.3-17ubuntu3
2022-04-27 19:31:33 status half-configured mawk:armhf 1.3.3-17ubuntu3
2022-04-27 19:31:33 status installed mawk:armhf 1.3.3-17ubuntu3
2022-04-27 19:31:33 startup archives unpack
2022-04-27 19:31:33 upgrade base-files:armhf 10.1ubuntu2 10.1ubuntu2
2022-04-27 19:31:33 status half-configured base-files:armhf 10.1ubuntu2
2022-04-27 19:31:33 status unpacked base-files:armhf 10.1ubuntu2
2022-04-27 19:31:33 status half-installed base-files:armhf 10.1ubuntu2
2022-04-27 19:31:33 status half-installed base-files:armhf 10.1ubuntu2
2022-04-27 19:31:33 status unpacked base-files:armhf 10.1ubuntu2
2022-04-27 19:31:33 status unpacked base-files:armhf 10.1ubuntu2
2022-04-27 19:31:33 upgrade base-passwd:armhf 3.5.44 3.5.44
2022-04-27 19:31:33 status half-configured base-passwd:armhf 3.5.44
2022-04-27 19:31:33 status unpacked base-passwd:armhf 3.5.44
2022-04-27 19:31:33 status half-installed base-passwd:armhf 3.5.44
2022-04-27 19:31:33 status half-installed base-passwd:armhf 3.5.44
2022-04-27 19:31:33 status unpacked base-passwd:armhf 3.5.44
2022-04-27 19:31:33 status unpacked base-passwd:armhf 3.5.44
2022-04-27 19:31:33 install bash:armhf <none> 4.4.18-2ubuntu1
2022-04-27 19:31:33 status half-installed bash:armhf 4.4.18-2ubuntu1
2022-04-27 19:31:33 status unpacked bash:armhf 4.4.18-2ubuntu1
2022-04-27 19:31:33 status unpacked bash:armhf 4.4.18-2ubuntu1
2022-04-27 19:31:33 install bsdutils:armhf <none> 1:2.31.1-0.4ubuntu3
2022-04-27 19:31:33 status half-installed bsdutils:armhf 1:2.31.1-0.4ubuntu3
2022-04-27 19:31:33 status unpacked bsdutils:armhf 1:2.31.1-0.4ubuntu3
2022-04-27 19:31:33 status unpacked bsdutils:armhf 1:2.31.1-0.4ubuntu3
2022-04-27 19:31:33 install coreutils:armhf <none> 8.28-1ubuntu1
2022-04-27 19:31:33 status half-installed coreutils:armhf 8.28-1ubuntu1
2022-04-27 19:31:33 status unpacked coreutils:armhf 8.28-1ubuntu1
2022-04-27 19:31:33 status unpacked coreutils:armhf 8.28-1ubuntu1
2022-04-27 19:31:34 install dash:armhf <none> 0.5.8-2.10
2022-04-27 19:31:34 status half-installed dash:armhf 0.5.8-2.10
2022-04-27 19:31:34 status unpacked dash:armhf 0.5.8-2.10
2022-04-27 19:31:34 status unpacked dash:armhf 0.5.8-2.10
2022-04-27 19:31:34 install debconf:all <none> 1.5.66
2022-04-27 19:31:34 status half-installed debconf:all 1.5.66
2022-04-27 19:31:34 status unpacked debconf:all 1.5.66
2022-04-27 19:31:34 status unpacked debconf:all 1.5.66
2022-04-27 19:31:34 install debianutils:armhf <none> 4.8.4
2022-04-27 19:31:34 status half-installed debianutils:armhf 4.8.4
2022-04-27 19:31:34 status unpacked debianutils:armhf 4.8.4
